start_date,end_date,ECQ,MECQ,GCQ,MGCQ
2020-03-16,2020-03-31,"NCR, CAR, Region I, Region II, Region III, Region IV-A, Region IV-B, Region V",-,-,-
2020-04-01,2020-04-15,"NCR, CAR, Region I, Region II, Region III, Region IV-A, Region IV-B, Region V, Region VI: [Antique, Iloilo, Negros Occidental], Region VII: [Cebu, Negros Oriental], Region XI",-,-,-
2020-04-16,2020-04-30,"NCR, CAR: [Benguet], Region I: [Pangasinan], Region III: [Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales], Region IV-A, Region IV-B: [Occidental Mindoro, Oriental Mindoro], Region V: [Albay, Catanduanues], Region VI: [Aklan, Antique, Capiz, Iloilo], Region VII: [Cebu], Region XI: [Davao de Oro, Davao del Norte, Davao del Sur]",-,"CAR: [Abra, Apayao, Ifugao, Kalinga, Mountain Province], Region I: [Ilocos Sur, Ilocos Norte, La Union], Region II, Region III: [Aurora], Region IV-B: [Marinduque, Palawan, Romblon]. Region V: [Camarines Sur, Camarines Norte, Masbate, Sorsogon], Region VI: [Guimaras], Region VII: [Bohol], Region VIII, Region IX, Region X, Region XI: [Davao Occidental], Region XII: [Cotabato, Sarangani, South Cotabato], Region XIII, BARMM: [Basilan, Maguindanao, Sulu]",-
2020-05-01,2020-05-15,"NCR, CAR: [Benguet], Region I: [Pangasinan], Region III: [Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales], Region IV-A, Region IV-B: [Marinduque, San Jose], Region V: [Albay], Region VI: [Iloilo, Bacolod], Region VII: [Cebu], Region IX: [Zamboanga del Sur], Region XI: [Davao City] ",-,"CAR: [Abra, Apayao, Ifugao, Kalinga, Mountain Province], Region I: [Ilocos Sur, Ilocos Norte, La Union], Region II, Region III: [Aurora], Region IV-B: [Palawan, Romblon]. Region V: [Camarines Sur, Camarines Norte, Masbate, Sorsogon], Region VI: [Guimaras], Region VII: [Bohol], Region VIII, Region IX, Region X, Region XI: [Davao Occidental], Region XII: [Cotabato, Sarangani, South Cotabato], Region XIII, BARMM: [Basilan, Maguindanao, Sulu]",-
2020-05-16,2020-05-31,"Region VII: [Cebu City, Mandaue]","NCR, Region III: [Bataan, Bulacan, Nueva Ecija, Pampanga, Zambales], Region IV-A: [Bacoor, Laguna]","CAR, Region I, Region II, Region III: [Aurora, Tarlac], Region IV-A: [Batangas, Cavite, Quezon, Rizal], Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, Region XIII, BARMM",-
2020-06-01,2020-06-15,-,"CAR, Region I: [Dagupan, Ilocos Norte, Ilocos Sur, La Union], Region IV-A, Region IV-B, Region V, Region VI, Region VIII, Region IX, Region X, Region XI, Region XII, Region XIII, BARMM","NCR, Region I: [Pangasinan], Region II, Region III, Region VII, Region IX: [Zamboanga City], Region XI: [Davao City]",-
2020-06-16,2020-06-30,Region VII [Cebu City],Region VII: [Talisay],"NCR, Region II, Region III, Region IV-A, Region IV-B: [Occidental Mindoro], Region VII, Region IX: [Zamboanga City], Region XI: [Davao City]","CAR, Region I, Region IV-B: [Marinduque, Oriental Mindoro, Palawan, Romblon], Region V, Region VI, Region VIII, Region IX, Region X, Region XI, Region XII, Region XIII, BARMM"
2020-07-01,2020-07-15,Region VII [Cebu City],-,"NCR, CAR: [Benguet], Region IV-A: [Cavite, Rizal], Region VII: [Cebu]. Region VIII: [Leyte, Southern Leyte]","CAR: [Abra, Apayao, Ifugao, Kalinga, Mountain Province], Region I, Region II, Region III: [Aurora, Bataan, Nueva Ecija, Pampanga, Tarlac, Zambales], Region IV-A: [Laguna, Quezon, Batangas], Region IV-B, Region V, Region VI, Region VII: [Bohol, Negros Oriental, Siquijor], Region VIII: [Biliran, Eastern Samar, Northern Samar, Samar], Region IX, Region X, Region XI, Region XII, Region XIII: [Agusan del Sur, Dinagat Islands, Surigao del Norte, Surigao del Sur], BARMM: [Lanao del Sur, Maguindanao, Sulu, Tawi-Tawi]"
2020-07-16,2020-07-31,-,Region VII [Cebu City],"NCR, Region IV-A: [Cavite, Laguna, Rizal], Region VII: [Lapu-Lapu, Mandaue], Region VIII: [Southern Leyte, Ormoc], Region IX: [Zamboanga], Region XIII: [Agusan del Norte], BARMM: [Basilan]","CAR, Region I, Region II, Region III: [Aurora, Bataan, Nueva Ecija, Pampanga, Tarlac, Zambales], Region IV-A: [Quezon, Batangas], Region IV-B, Region V, Region VI, Region VII, Region VIII: [Biliran, Eastern Samar, Leyte, Northern Samar, Samar], Region IX, Region X, Region XI, Region XII, Region XIII: [Agusan del Sur, Dinagat Islands, Surigao del Norte, Surigao del Sur], BARMM: [Lanao del Sur, Maguindanao, Sulu, Tawi-Tawi]"
2020-08-01,2020-08-15,"NCR, Region III: [Bulacan], Region IV-A: [Batangas, Cavite, Laguna, Rizal]",-,"Region VII: [Cebu City, Consolacion, Minglanilla, Lapu-lapu, Talisay, Mandaue], Region IX: [Zamboanga]","CAR, Region I, Region II, Region III: [Aurora, Bataan, Nueva Ecija, Pampanga, Tarlac, Zambales], Region IV-A: [Quezon], Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, Region XIII, BARMM"
2020-08-16,2020-08-31,Region VIII: [Catbalogan],"Region II: [Tuguegarao], Region IX: [Zamboanga]","NCR, Region III: [Bulacan, Nueva Ecija], Region IV-A, Region VII: [Cebu City, Consolacion, Minglanilla, Lapu-lapu, Talisay, Mandaue]","CAR, Region I, Region II, Region III: [Aurora, Bataan, Pampanga, Tarlac, Zambales], Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, Region XIII, BARMM"
2020-09-01,2020-09-15,-,Region X: [Iligan],"NCR, Region III: [Bulacan], Region IV-A: [Batangas], Region VI: [Bacolod], Region VIII: [Tacloban]","Region I, Region II, Region III, Region IV-A, Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, CARAGA, BARMM "
2020-09-16,2020-09-30,-,"Region VI: [Bacolod], Region X: [Iligan], BARMM: [Lanao del Sur]","NCR, Region III: [Bulacan], Region IV-A: [Batangas], Region VIII: [Tacloban], Region XII: [General Santos, South Cotabato]","Region I, Region II, Region III, Region IV-A, Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, CARAGA, BARMM "
2020-10-01,2020-10-15,-,"Region II: [Ilagan, Enrile], BARMM: [Lanao del Sur]","NCR, Region IV-A: [Batangas], Region VI: [Iloilo City, Bacolod], Region VIII: [Tacloban], Region X: [Iligan]","Region I, Region II, Region III, Region IV-A, Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, CARAGA, BARMM "
2020-10-16,2020-10-31,Region II: [Ilagan],BARMM: [Lanao del Sur],"NCR, Region IV-A: [Batangas], Region VI: [Iloilo City, Bacolod], Region VIII: [Tacloban], Region X: [Iligan]","Region I, Region II, Region III, Region IV-A, Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, CARAGA, BARMM "
